         61879713 function calls (61879701 primitive calls) in 46.441 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.003    0.003   46.441   46.441 <string>:1(<module>)
     6486    0.017    0.000    0.043    0.000 __init__.py:550(__init__)
     6486    0.009    0.000    0.025    0.000 __init__.py:619(update)
        6    0.000    0.000    0.000    0.000 _index.py:129(_validate_indices)
        6    0.000    0.000    0.000    0.000 _index.py:248(_unpack_index)
        6    0.000    0.000    0.000    0.000 _index.py:287(_check_ellipsis)
        6    0.000    0.000    0.002    0.000 _index.py:34(__getitem__)
    24036    0.024    0.000    0.024    0.000 _internal.py:889(npy_ctypes_check)
    59430    0.022    0.000    0.584    0.000 _methods.py:26(_amax)
    59430    0.020    0.000    0.468    0.000 _methods.py:30(_amin)
    12018    0.004    0.000    0.060    0.000 _methods.py:34(_sum)
   553400    0.160    0.000    1.261    0.000 _methods.py:42(_any)
      184    0.000    0.000    0.000    0.000 _util.py:129(_prune_array)
     6536    0.002    0.000    0.007    0.000 abc.py:137(__instancecheck__)
        8    0.000    0.000    0.000    0.000 arraysetops.py:138(_unpack_tuple)
        8    0.000    0.000    0.000    0.000 arraysetops.py:151(unique)
        8    0.000    0.000    0.000    0.000 arraysetops.py:299(_unique1d)
    31200    0.013    0.000    0.017    0.000 base.py:1189(isspmatrix)
   114420    0.058    0.000    0.250    0.000 base.py:242(nnz)
    10376    0.003    0.000    0.008    0.000 base.py:298(asformat)
       26    0.000    0.000    0.009    0.000 base.py:369(__eq__)
        6    0.000    0.000    0.005    0.001 base.py:390(_add_sparse)
       12    0.000    0.000    0.010    0.001 base.py:406(__add__)
        6    0.000    0.000    0.002    0.000 base.py:454(__mul__)
       56    0.000    0.000    0.000    0.000 base.py:674(__getattr__)
    51882    0.043    0.000    0.043    0.000 base.py:70(__init__)
   204902    0.031    0.000    0.031    0.000 base.py:84(get_shape)
       12    0.000    0.000    0.003    0.000 base.py:885(tocsr)
     6486    0.043    0.000    0.076    0.000 basic.py:2052(factorial)
       12    0.000    0.000    0.002    0.000 compressed.py:1008(tocoo)
       28    0.000    0.000    0.001    0.000 compressed.py:1054(__get_has_canonical_format)
       28    0.000    0.000    0.000    0.000 compressed.py:1075(__set_has_canonical_format)
       28    0.000    0.000    0.001    0.000 compressed.py:1083(sum_duplicates)
      392    0.000    0.000    0.000    0.000 compressed.py:110(getnnz)
       28    0.000    0.000    0.000    0.000 compressed.py:1114(__set_sorted)
       92    0.000    0.000    0.001    0.000 compressed.py:1139(prune)
       12    0.000    0.000    0.008    0.001 compressed.py:1209(_binopt)
       12    0.000    0.000    0.000    0.000 compressed.py:127(_set_self)
       12    0.000    0.000    0.000    0.000 compressed.py:1271(_process_slice)
       80    0.001    0.000    0.003    0.000 compressed.py:138(check_format)
       38    0.000    0.000    0.000    0.000 compressed.py:217(__eq__)
    80/68    0.001    0.000    0.008    0.000 compressed.py:30(__init__)
       12    0.000    0.000    0.008    0.001 compressed.py:354(_add_sparse)
        6    0.000    0.000    0.002    0.000 compressed.py:649(_get_sliceXslice)
        6    0.000    0.000    0.002    0.000 compressed.py:777(_get_submatrix)
        2    0.000    0.000    0.000    0.000 construct.py:165(<listcomp>)
        6    0.000    0.000    0.000    0.000 construct.py:27(spdiags)
    10350    0.030    0.000    3.834    0.000 construct.py:435(hstack)
    10350    0.907    0.000    3.805    0.000 construct.py:502(bmat)
    20700    0.010    0.000    0.013    0.000 construct.py:560(<genexpr>)
    31050    0.045    0.000    0.084    0.000 construct.py:598(<genexpr>)
    10350    0.026    0.000    0.030    0.000 construct.py:600(<listcomp>)
        2    0.000    0.000    0.001    0.001 construct.py:65(diags)
    51794    0.340    0.000    3.383    0.000 coo.py:128(__init__)
   114028    0.159    0.000    0.192    0.000 coo.py:241(getnnz)
    51794    0.320    0.000    2.207    0.000 coo.py:267(_check)
    10356    0.023    0.000    0.516    0.000 coo.py:293(transpose)
        6    0.000    0.000    0.002    0.000 coo.py:332(tocsc)
       44    0.001    0.000    0.011    0.000 coo.py:374(tocsr)
    20700    0.003    0.000    0.003    0.000 coo.py:416(tocoo)
        6    0.000    0.000    0.002    0.000 coo.py:516(_with_data)
    20700    0.007    0.000    0.010    0.000 coo.py:596(isspmatrix_coo)
       68    0.000    0.000    0.000    0.000 csc.py:232(_swap)
      234    0.000    0.000    0.000    0.000 csr.py:228(_swap)
        6    0.000    0.000    0.002    0.000 data.py:122(_mul_scalar)
    51882    0.035    0.000    0.078    0.000 data.py:22(__init__)
    20806    0.005    0.000    0.005    0.000 data.py:25(_get_dtype)
       14    0.001    0.000    0.002    0.000 dia.py:348(tocoo)
        8    0.000    0.000    0.000    0.000 dia.py:397(isspmatrix_dia)
        8    0.000    0.000    0.001    0.000 dia.py:78(__init__)
    20700    0.023    0.000    0.058    0.000 fromnumeric.py:1583(ravel)
    10350    0.007    0.000    0.039    0.000 fromnumeric.py:1694(nonzero)
   553400    0.453    0.000    3.780    0.000 fromnumeric.py:2083(any)
    20700    0.022    0.000    0.108    0.000 fromnumeric.py:2252(cumsum)
    11124    0.010    0.000    0.077    0.000 fromnumeric.py:2664(prod)
    20814    0.006    0.000    0.006    0.000 fromnumeric.py:2847(ndim)
     4638    0.002    0.000    0.044    0.000 fromnumeric.py:3385(product)
    31050    0.025    0.000    0.118    0.000 fromnumeric.py:54(_wrapfunc)
